"TimeGenerated","Computer","EventID","Account","LogonType","IpAddress","IpPort","TargetUserName","TargetDomainName","Status","SubStatus","FailureReason","ProcessName","ShareName","RelativeTargetName","AccessMask"
"2025-11-02T21:10:28.4179673Z","vm-db-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-02T21:10:28.3470268Z","vm-db-1","4624","vm-db-1\azureadmin","3","10.0.1.4","51311","azureadmin","vm-db-1","","","","-","","",""
"2025-11-02T21:10:28.3469664Z","vm-db-1","4672","vm-db-1\azureadmin",,"","","","","","","","","","",""
"2025-11-02T21:10:28.3468794Z","vm-db-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-02T21:10:28.2723367Z","vm-db-1","4624","vm-db-1\azureadmin","3","10.0.1.4","51310","azureadmin","vm-db-1","","","","-","","",""
"2025-11-02T21:10:28.2722992Z","vm-db-1","4672","vm-db-1\azureadmin",,"","","","","","","","","","",""
"2025-11-02T21:10:28.2722391Z","vm-db-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-02T21:10:28.1559964Z","vm-db-1","4624","vm-db-1\azureadmin","3","10.0.1.4","51309","azureadmin","vm-db-1","","","","-","","",""
"2025-11-02T21:10:28.1559424Z","vm-db-1","4672","vm-db-1\azureadmin",,"","","","","","","","","","",""
"2025-11-02T21:10:28.1558511Z","vm-db-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-02T21:10:26.8036413Z","vm-db-1","4624","vm-db-1\azureadmin","3","10.0.1.4","51308","azureadmin","vm-db-1","","","","-","","",""
"2025-11-02T21:10:26.8035998Z","vm-db-1","4672","vm-db-1\azureadmin",,"","","","","","","","","","",""
"2025-11-02T21:10:26.8035288Z","vm-db-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-02T21:10:26.7320823Z","vm-db-1","4624","vm-db-1\azureadmin","3","10.0.1.4","51307","azureadmin","vm-db-1","","","","-","","",""
"2025-11-02T21:10:26.732023Z","vm-db-1","4672","vm-db-1\azureadmin",,"","","","","","","","","","",""
"2025-11-02T21:10:26.7319356Z","vm-db-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-02T21:10:26.6472099Z","vm-db-1","4624","vm-db-1\azureadmin","3","10.0.1.4","51306","azureadmin","vm-db-1","","","","-","","",""
"2025-11-02T21:10:26.6471685Z","vm-db-1","4672","vm-db-1\azureadmin",,"","","","","","","","","","",""
"2025-11-02T21:10:26.6470935Z","vm-db-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-02T21:10:26.5281026Z","vm-db-1","4624","vm-db-1\azureadmin","3","10.0.1.4","51305","azureadmin","vm-db-1","","","","-","","",""
"2025-11-02T21:10:26.5280417Z","vm-db-1","4672","vm-db-1\azureadmin",,"","","","","","","","","","",""
"2025-11-02T21:10:26.5279439Z","vm-db-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-02T21:10:25.1699729Z","vm-db-1","4624","vm-db-1\azureadmin","3","10.0.1.4","51304","azureadmin","vm-db-1","","","","-","","",""
"2025-11-02T21:10:25.1699332Z","vm-db-1","4672","vm-db-1\azureadmin",,"","","","","","","","","","",""
"2025-11-02T21:10:25.1698651Z","vm-db-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-02T21:10:25.0995073Z","vm-db-1","4624","vm-db-1\azureadmin","3","10.0.1.4","51303","azureadmin","vm-db-1","","","","-","","",""
"2025-11-02T21:10:25.0994481Z","vm-db-1","4672","vm-db-1\azureadmin",,"","","","","","","","","","",""
"2025-11-02T21:10:25.0993537Z","vm-db-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-02T21:10:25.0282336Z","vm-db-1","4624","vm-db-1\azureadmin","3","10.0.1.4","51302","azureadmin","vm-db-1","","","","-","","",""
"2025-11-02T21:10:25.028196Z","vm-db-1","4672","vm-db-1\azureadmin",,"","","","","","","","","","",""
"2025-11-02T21:10:25.028136Z","vm-db-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-02T21:10:24.9147826Z","vm-db-1","4624","vm-db-1\azureadmin","3","10.0.1.4","51301","azureadmin","vm-db-1","","","","-","","",""
"2025-11-02T21:10:24.9147304Z","vm-db-1","4672","vm-db-1\azureadmin",,"","","","","","","","","","",""
"2025-11-02T21:10:24.9146412Z","vm-db-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-02T21:10:23.5495296Z","vm-db-1","4624","vm-db-1\azureadmin","3","10.0.1.4","51300","azureadmin","vm-db-1","","","","-","","",""
"2025-11-02T21:10:23.5494859Z","vm-db-1","4672","vm-db-1\azureadmin",,"","","","","","","","","","",""
"2025-11-02T21:10:23.54941Z","vm-db-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-02T21:10:23.4715794Z","vm-db-1","4624","vm-db-1\azureadmin","3","10.0.1.4","51299","azureadmin","vm-db-1","","","","-","","",""
"2025-11-02T21:10:23.4715138Z","vm-db-1","4672","vm-db-1\azureadmin",,"","","","","","","","","","",""
"2025-11-02T21:10:23.4714096Z","vm-db-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-02T21:10:23.3969789Z","vm-db-1","4624","vm-db-1\azureadmin","3","10.0.1.4","51298","azureadmin","vm-db-1","","","","-","","",""
"2025-11-02T21:10:23.396931Z","vm-db-1","4672","vm-db-1\azureadmin",,"","","","","","","","","","",""
"2025-11-02T21:10:23.3968467Z","vm-db-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-02T21:10:23.2910143Z","vm-db-1","4624","vm-db-1\azureadmin","3","10.0.1.4","51297","azureadmin","vm-db-1","","","","-","","",""
"2025-11-02T21:10:23.2909457Z","vm-db-1","4672","vm-db-1\azureadmin",,"","","","","","","","","","",""
"2025-11-02T21:10:23.2908381Z","vm-db-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-02T21:10:21.9243653Z","vm-db-1","4624","vm-db-1\azureadmin","3","10.0.1.4","51291","azureadmin","vm-db-1","","","","-","","",""
"2025-11-02T21:10:21.9243231Z","vm-db-1","4672","vm-db-1\azureadmin",,"","","","","","","","","","",""
"2025-11-02T21:10:21.9242538Z","vm-db-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-02T21:10:21.8538451Z","vm-db-1","4624","vm-db-1\azureadmin","3","10.0.1.4","51290","azureadmin","vm-db-1","","","","-","","",""
"2025-11-02T21:10:21.8537827Z","vm-db-1","4672","vm-db-1\azureadmin",,"","","","","","","","","","",""
"2025-11-02T21:10:21.8536946Z","vm-db-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-02T21:10:21.7631063Z","vm-db-1","4624","vm-db-1\azureadmin","3","10.0.1.4","51289","azureadmin","vm-db-1","","","","-","","",""
"2025-11-02T21:10:21.7630625Z","vm-db-1","4672","vm-db-1\azureadmin",,"","","","","","","","","","",""
"2025-11-02T21:10:21.7629694Z","vm-db-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-02T21:10:21.6501653Z","vm-app-1","4624","vm-app-1\azureadmin","3","10.0.1.4","51288","azureadmin","vm-app-1","","","","-","","",""
"2025-11-02T21:10:21.6501098Z","vm-app-1","4672","vm-app-1\azureadmin",,"","","","","","","","","","",""
"2025-11-02T21:10:21.6500109Z","vm-app-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-02T21:10:20.292382Z","vm-app-1","4624","vm-app-1\azureadmin","3","10.0.1.4","51287","azureadmin","vm-app-1","","","","-","","",""
