"TimeGenerated","Computer","EventID","Account","TargetUserName","IpAddress","ShareName","RelativeTargetName","ProcessName"
"2025-11-03T20:55:35.0973865Z","vm-web-1","4648","WORKGROUP\vm-web-1$","azureadmin","89.100.159.179","","","C:\Windows\System32\svchost.exe"
"2025-11-03T20:55:34.4921922Z","vm-web-1","4648","WORKGROUP\vm-web-1$","DWM-2","-","","","C:\Windows\System32\winlogon.exe"
"2025-11-03T20:55:34.4429532Z","vm-web-1","4648","WORKGROUP\vm-web-1$","UMFD-2","-","","","C:\Windows\System32\winlogon.exe"
