"TimeGenerated","Computer","Account","IpAddress","LogonType","Status","SubStatus","FailureReason"
"2025-11-03T22:47:26.3759625Z","vm-app-1","-\Test","85.208.84.222","3","0xc000006d","0xc0000064","%%2313"
"2025-11-03T22:31:43.1928946Z","vm-web-1","-\Test","85.208.84.222","3","0xc000006d","0xc0000064","%%2313"
"2025-11-03T22:15:47.3759471Z","vm-web-1","-\Test","45.136.68.42","3","0xc000006d","0xc0000064","%%2313"
"2025-11-03T22:15:45.9627183Z","vm-web-1","-\Test","45.136.68.42","3","0xc000006d","0xc0000064","%%2313"
