"TimeGenerated","Computer","EventID","Account","LogonType","IpAddress","IpPort","TargetUserName","TargetDomainName","Status","SubStatus","FailureReason","ProcessName","ShareName","RelativeTargetName","AccessMask"
"2025-11-04T02:16:27.5227991Z","vm-web-1","4624","Font Driver Host\UMFD-2","2","-","-","UMFD-2","Font Driver Host","","","","C:\Windows\System32\winlogon.exe","","",""
"2025-11-04T02:16:27.5227716Z","vm-web-1","4648","WORKGROUP\vm-web-1$",,"-","-","UMFD-2","Font Driver Host","","","","C:\Windows\System32\winlogon.exe","","",""
"2025-11-04T02:16:27.0463642Z","vm-web-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-04T02:16:27.0463367Z","vm-web-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-04T02:16:26.4013055Z","vm-web-1","4624","vm-web-1\azureadmin","3","89.100.159.179","0","azureadmin","vm-web-1","","","","-","","",""
"2025-11-04T02:16:26.4012502Z","vm-web-1","4672","vm-web-1\azureadmin",,"","","","","","","","","","",""
"2025-11-04T02:16:26.4011531Z","vm-web-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-04T02:16:23.5204432Z","vm-web-1","4624","vm-web-1\azureadmin","3","89.100.159.179","0","azureadmin","vm-web-1","","","","-","","",""
"2025-11-04T02:16:23.5203068Z","vm-web-1","4672","vm-web-1\azureadmin",,"","","","","","","","","","",""
"2025-11-04T02:16:23.5201924Z","vm-web-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-04T02:15:33.9741911Z","vm-db-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-04T02:15:33.9741607Z","vm-db-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-04T02:14:53.9077648Z","vm-web-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-04T02:14:53.9077428Z","vm-web-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-04T02:13:48.516176Z","vm-app-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-04T02:13:48.5161563Z","vm-app-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-04T02:13:46.0865339Z","vm-app-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-04T02:13:46.0864984Z","vm-app-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-04T02:10:51.3652288Z","vm-db-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-04T02:10:51.3652059Z","vm-db-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-04T02:10:32.660302Z","vm-web-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-04T02:10:32.6602792Z","vm-web-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-04T02:09:40.3240023Z","vm-app-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-04T02:09:40.3239751Z","vm-app-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-04T02:03:43.6688904Z","vm-app-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-04T02:03:43.6688598Z","vm-app-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-04T02:03:28.4007203Z","vm-app-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-04T02:03:28.4006925Z","vm-app-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-04T02:03:26.7164439Z","vm-app-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-04T02:03:26.7164206Z","vm-app-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-04T02:03:22.305563Z","vm-app-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-04T02:03:22.3055422Z","vm-app-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-04T02:03:04.0122785Z","vm-web-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-04T02:03:04.0122581Z","vm-web-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-04T02:02:59.6592341Z","vm-db-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-04T02:02:59.6591712Z","vm-db-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-04T02:02:31.3002502Z","vm-db-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-04T02:02:31.3002306Z","vm-db-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-04T02:02:23.6176541Z","vm-app-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-04T02:02:23.6176268Z","vm-app-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-04T02:02:23.3447582Z","vm-app-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-04T02:02:23.3446964Z","vm-app-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-04T02:02:22.8523778Z","vm-web-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-04T02:02:22.8523528Z","vm-web-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-04T02:02:22.5263988Z","vm-app-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-04T02:02:22.5263747Z","vm-app-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-04T02:01:56.4886275Z","vm-web-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-04T02:01:56.4885998Z","vm-web-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-04T02:01:56.2721468Z","vm-web-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-04T02:01:56.2721195Z","vm-web-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-04T02:01:55.4717099Z","vm-web-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-04T02:01:55.4716441Z","vm-web-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-04T02:01:53.0736856Z","vm-db-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-04T02:01:53.0736489Z","vm-db-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-04T02:01:52.5305828Z","vm-db-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-04T02:01:52.5305533Z","vm-db-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-04T02:01:51.9131011Z","vm-db-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-04T02:01:51.9130745Z","vm-db-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-04T01:58:05.3042049Z","vm-app-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-04T01:58:05.3041729Z","vm-app-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-04T01:58:04.1495132Z","vm-app-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-04T01:58:04.1494754Z","vm-app-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-04T01:57:57.4419053Z","vm-db-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-04T01:57:57.4418858Z","vm-db-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-04T01:57:56.3075959Z","vm-db-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-04T01:57:56.3075718Z","vm-db-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-04T01:57:30.5748686Z","vm-web-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-04T01:57:30.5748486Z","vm-web-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-04T01:57:29.6407828Z","vm-web-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-04T01:57:29.6407552Z","vm-web-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-04T01:57:22.558726Z","vm-app-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-04T01:57:22.5586954Z","vm-app-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-04T01:56:56.7396898Z","vm-db-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-04T01:56:56.7396629Z","vm-db-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-04T01:56:51.6004217Z","vm-web-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-04T01:56:51.6003922Z","vm-web-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-04T01:55:50.1512266Z","vm-app-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-04T01:55:50.1512077Z","vm-app-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-04T01:55:40.7553485Z","vm-db-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-04T01:55:40.7553301Z","vm-db-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-04T01:55:36.5666648Z","vm-web-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-04T01:55:36.5666458Z","vm-web-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-04T01:55:30.6456818Z","vm-app-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-04T01:55:30.6456628Z","vm-app-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-04T01:55:24.4278507Z","vm-db-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-04T01:55:24.4278317Z","vm-db-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-04T01:55:24.1433561Z","vm-db-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-04T01:55:24.1433379Z","vm-db-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-04T01:55:20.5922851Z","vm-web-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-04T01:55:20.5922655Z","vm-web-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-04T01:55:12.2029138Z","vm-app-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-04T01:55:12.2028876Z","vm-app-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
