"TimeGenerated","Computer","EventID","Account","LogonType","IpAddress","IpPort","TargetUserName","TargetDomainName","Status","SubStatus","FailureReason","ProcessName","ShareName","RelativeTargetName","AccessMask"
"2025-11-03T19:35:00.9532136Z","vm-app-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-03T19:35:00.9531921Z","vm-app-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-03T19:33:00.5532995Z","vm-db-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-03T19:33:00.5532757Z","vm-db-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-03T19:32:01.0532765Z","vm-web-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-03T19:32:01.0532569Z","vm-web-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-03T19:31:34.3876236Z","vm-web-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-03T19:31:34.3876047Z","vm-web-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-03T19:25:02.4750226Z","vm-web-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-03T19:25:02.4750034Z","vm-web-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-03T19:24:04.2590574Z","vm-app-1","4624","vm-app-1\azureadmin","3","10.1.1.4","57782","azureadmin","vm-app-1","","","","-","","",""
"2025-11-03T19:24:04.2590188Z","vm-app-1","4672","vm-app-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T19:24:04.2589663Z","vm-app-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T19:24:04.2030473Z","vm-app-1","4624","vm-app-1\azureadmin","3","10.1.1.4","57780","azureadmin","vm-app-1","","","","-","","",""
"2025-11-03T19:24:04.2030055Z","vm-app-1","4672","vm-app-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T19:24:04.2029392Z","vm-app-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T19:24:04.0426286Z","vm-app-1","4624","vm-app-1\azureadmin","3","10.1.1.4","57779","azureadmin","vm-app-1","","","","-","","",""
"2025-11-03T19:24:04.0425919Z","vm-app-1","4672","vm-app-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T19:24:04.0425403Z","vm-app-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T19:24:04.0314918Z","vm-app-1","4624","vm-app-1\azureadmin","3","10.1.1.4","57778","azureadmin","vm-app-1","","","","-","","",""
"2025-11-03T19:24:04.0314435Z","vm-app-1","4672","vm-app-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T19:24:04.0313554Z","vm-app-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T19:19:57.2631832Z","vm-db-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-03T19:19:57.2631656Z","vm-db-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-03T19:17:54.29929Z","vm-db-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-03T19:17:54.2992655Z","vm-db-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-03T19:17:32.8728862Z","vm-app-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-03T19:17:32.8728619Z","vm-app-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-03T19:17:20.7064611Z","vm-web-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-03T19:17:20.7064352Z","vm-web-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-03T19:13:56.4955149Z","vm-web-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-03T19:13:56.495482Z","vm-web-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-03T19:09:04.4053123Z","vm-web-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-03T19:09:04.4052925Z","vm-web-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-03T19:08:13.926692Z","vm-app-1","4624","vm-app-1\azureadmin","3","10.1.1.4","57323","azureadmin","vm-app-1","","","","-","","",""
"2025-11-03T19:08:13.9266481Z","vm-app-1","4672","vm-app-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T19:08:13.9265865Z","vm-app-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T19:08:13.8235037Z","vm-app-1","4624","vm-app-1\azureadmin","3","10.1.1.4","57322","azureadmin","vm-app-1","","","","-","","",""
"2025-11-03T19:08:13.8234505Z","vm-app-1","4672","vm-app-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T19:08:13.8233733Z","vm-app-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T19:08:13.7144471Z","vm-app-1","4624","vm-app-1\azureadmin","3","10.1.1.4","57321","azureadmin","vm-app-1","","","","-","","",""
"2025-11-03T19:08:13.7143886Z","vm-app-1","4672","vm-app-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T19:08:13.7143169Z","vm-app-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T19:08:13.7139886Z","vm-app-1","4624","vm-app-1\azureadmin","3","-","-","azureadmin","vm-app-1","","","","-","","",""
"2025-11-03T19:08:13.7139387Z","vm-app-1","4672","vm-app-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T19:08:13.7138737Z","vm-app-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T19:08:13.6619296Z","vm-app-1","4624","vm-app-1\azureadmin","3","10.1.1.4","57320","azureadmin","vm-app-1","","","","-","","",""
"2025-11-03T19:08:13.6618792Z","vm-app-1","4672","vm-app-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T19:08:13.6617923Z","vm-app-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T19:07:51.5453647Z","vm-app-1","4624","vm-app-1\azureadmin","3","10.1.1.4","57287","azureadmin","vm-app-1","","","","-","","",""
